Modelo,Iteracion,Validation_score
MLP 1 capa oculta,1,0.6822429906542056
MLP 1 capa oculta,2,0.719626168224299
MLP 1 capa oculta,3,0.7102803738317757
MLP 1 capa oculta,4,0.7102803738317757
MLP 1 capa oculta,5,0.7289719626168224
MLP 1 capa oculta,6,0.719626168224299
MLP 1 capa oculta,7,0.719626168224299
MLP 1 capa oculta,8,0.719626168224299
MLP 1 capa oculta,9,0.7289719626168224
MLP 1 capa oculta,10,0.7289719626168224
MLP 1 capa oculta,11,0.7289719626168224
MLP 1 capa oculta,12,0.7289719626168224
MLP 1 capa oculta,13,0.7289719626168224
MLP 1 capa oculta,14,0.7289719626168224
MLP 1 capa oculta,15,0.719626168224299
MLP 1 capa oculta,16,0.7289719626168224
MLP 1 capa oculta,17,0.719626168224299
MLP 1 capa oculta,18,0.719626168224299
MLP 1 capa oculta,19,0.719626168224299
MLP 1 capa oculta,20,0.7289719626168224
MLP 1 capa oculta,21,0.7289719626168224
MLP 1 capa oculta,22,0.7289719626168224
MLP 1 capa oculta,23,0.7289719626168224
MLP 1 capa oculta,24,0.7289719626168224
MLP 1 capa oculta,25,0.7383177570093458
MLP 1 capa oculta,26,0.7383177570093458
MLP 1 capa oculta,27,0.7383177570093458
MLP 1 capa oculta,28,0.7383177570093458
MLP 1 capa oculta,29,0.7383177570093458
MLP 1 capa oculta,30,0.7383177570093458
MLP 1 capa oculta,31,0.7476635514018691
MLP 1 capa oculta,32,0.7476635514018691
MLP 1 capa oculta,33,0.7570093457943925
MLP 1 capa oculta,34,0.7570093457943925
MLP 1 capa oculta,35,0.7570093457943925
MLP 1 capa oculta,36,0.7476635514018691
MLP 1 capa oculta,37,0.7476635514018691
MLP 1 capa oculta,38,0.7476635514018691
MLP 1 capa oculta,39,0.7476635514018691
MLP 1 capa oculta,40,0.7476635514018691
MLP 1 capa oculta,41,0.7570093457943925
MLP 1 capa oculta,42,0.7663551401869159
MLP 1 capa oculta,43,0.7663551401869159
MLP 1 capa oculta,44,0.7663551401869159
MLP 1 capa oculta,45,0.7663551401869159
MLP 1 capa oculta,46,0.7757009345794392
MLP 1 capa oculta,47,0.7757009345794392
MLP 1 capa oculta,48,0.7663551401869159
MLP 1 capa oculta,49,0.7757009345794392
MLP 1 capa oculta,50,0.7757009345794392
MLP 1 capa oculta,51,0.7850467289719626
MLP 1 capa oculta,52,0.7757009345794392
MLP 1 capa oculta,53,0.7850467289719626
MLP 1 capa oculta,54,0.7850467289719626
MLP 1 capa oculta,55,0.7850467289719626
MLP 1 capa oculta,56,0.7757009345794392
MLP 1 capa oculta,57,0.7663551401869159
MLP 1 capa oculta,58,0.7663551401869159
MLP 1 capa oculta,59,0.7663551401869159
MLP 1 capa oculta,60,0.7663551401869159
MLP 1 capa oculta,61,0.7663551401869159
MLP 1 capa oculta,62,0.7757009345794392
MLP 1 capa oculta,63,0.7757009345794392
MLP 1 capa oculta,64,0.7757009345794392
MLP 1 capa oculta,65,0.7757009345794392
MLP 1 capa oculta,66,0.7757009345794392
MLP 1 capa oculta,67,0.7757009345794392
MLP 1 capa oculta,68,0.7757009345794392
MLP 1 capa oculta,69,0.7757009345794392
MLP 1 capa oculta,70,0.7757009345794392
MLP 1 capa oculta,71,0.7757009345794392
MLP 1 capa oculta,72,0.7757009345794392
MLP 2 capas ocultas,1,0.7289719626168224
MLP 2 capas ocultas,2,0.719626168224299
MLP 2 capas ocultas,3,0.7102803738317757
MLP 2 capas ocultas,4,0.7102803738317757
MLP 2 capas ocultas,5,0.7102803738317757
MLP 2 capas ocultas,6,0.7009345794392523
MLP 2 capas ocultas,7,0.719626168224299
MLP 2 capas ocultas,8,0.7289719626168224
MLP 2 capas ocultas,9,0.7383177570093458
MLP 2 capas ocultas,10,0.7476635514018691
MLP 2 capas ocultas,11,0.7476635514018691
MLP 2 capas ocultas,12,0.7757009345794392
MLP 2 capas ocultas,13,0.7663551401869159
MLP 2 capas ocultas,14,0.7663551401869159
MLP 2 capas ocultas,15,0.794392523364486
MLP 2 capas ocultas,16,0.822429906542056
MLP 2 capas ocultas,17,0.8598130841121495
MLP 2 capas ocultas,18,0.8504672897196262
MLP 2 capas ocultas,19,0.8504672897196262
MLP 2 capas ocultas,20,0.8504672897196262
MLP 2 capas ocultas,21,0.8504672897196262
MLP 2 capas ocultas,22,0.8411214953271028
MLP 2 capas ocultas,23,0.8317757009345794
MLP 2 capas ocultas,24,0.8411214953271028
MLP 2 capas ocultas,25,0.8411214953271028
MLP 2 capas ocultas,26,0.8317757009345794
MLP 2 capas ocultas,27,0.8317757009345794
MLP 2 capas ocultas,28,0.8317757009345794
MLP 2 capas ocultas,29,0.8504672897196262
MLP 2 capas ocultas,30,0.8504672897196262
MLP 2 capas ocultas,31,0.8785046728971962
MLP 2 capas ocultas,32,0.8317757009345794
MLP 2 capas ocultas,33,0.8317757009345794
MLP 2 capas ocultas,34,0.8317757009345794
MLP 2 capas ocultas,35,0.8317757009345794
MLP 2 capas ocultas,36,0.822429906542056
MLP 2 capas ocultas,37,0.8411214953271028
MLP 2 capas ocultas,38,0.8317757009345794
MLP 2 capas ocultas,39,0.8411214953271028
MLP 2 capas ocultas,40,0.8317757009345794
MLP 2 capas ocultas,41,0.8317757009345794
MLP 2 capas ocultas,42,0.8411214953271028
MLP 2 capas ocultas,43,0.8411214953271028
MLP 2 capas ocultas,44,0.8411214953271028
MLP 2 capas ocultas,45,0.8598130841121495
MLP 2 capas ocultas,46,0.8504672897196262
MLP 2 capas ocultas,47,0.8317757009345794
MLP 2 capas ocultas,48,0.8411214953271028
MLP 2 capas ocultas,49,0.8411214953271028
MLP 2 capas ocultas,50,0.8317757009345794
MLP 2 capas ocultas,51,0.822429906542056
MLP 2 capas ocultas,52,0.8317757009345794
MLP 3 capas ocultas,1,0.5887850467289719
MLP 3 capas ocultas,2,0.7476635514018691
MLP 3 capas ocultas,3,0.7289719626168224
MLP 3 capas ocultas,4,0.719626168224299
MLP 3 capas ocultas,5,0.7102803738317757
