Fold,Indice_original,y_real,y_pred,score
1,0,0,0,0.10485676874294517
4,1,1,1,0.9061995929329323
1,2,1,0,0.4829357888528716
4,3,1,1,0.9271693252759282
5,5,0,0,0.23916085902263445
2,6,0,0,0.45472494566870436
5,7,0,0,0.15574104782646392
3,8,1,0,0.4531350378987327
2,10,1,1,0.5336869703484549
5,12,0,0,0.12065437204174562
2,13,0,0,0.12519166782175178
2,14,0,0,0.44001907406587704
1,15,1,1,0.5650473988779445
4,18,0,0,0.4002575794484002
3,19,1,0,0.3377413145942429
4,20,0,0,0.17930668418573917
1,21,1,0,0.14405523913663187
1,22,1,1,0.7678325125843334
5,24,0,0,0.33029810833119366
1,25,1,0,0.2532304614412164
3,26,0,0,0.15390305314441577
3,28,1,1,0.5072875661732483
4,30,0,0,0.32956172819364765
1,31,1,1,0.8767086080158178
5,32,1,1,0.6001536777440708
2,33,0,0,0.14205784161855237
4,34,0,1,0.6387113779226274
4,35,0,1,0.5349476972292029
5,36,1,0,0.1334286579573591
1,37,0,0,0.13938724752128157
5,41,0,1,0.6582718641242504
4,42,0,0,0.12756921627224838
2,43,1,1,0.7520830989123967
4,44,1,1,0.7010228802976834
3,45,0,0,0.1288408569219695
2,46,0,0,0.2534947719286121
5,47,1,1,0.6001536777440708
2,48,0,0,0.15439542792096966
4,49,0,0,0.4747801271294826
3,50,0,0,0.20175433267796572
4,51,0,0,0.12001041172611412
1,52,1,1,0.8509958370162148
5,53,1,1,0.6657519854810658
1,54,0,0,0.22617375073127566
3,56,1,1,0.6479249503238848
4,57,0,0,0.12450331985579824
2,58,1,1,0.7509466576011293
1,59,0,0,0.07699743182824707
1,60,0,0,0.1944505690755745
3,61,1,1,0.8490030972950081
2,63,0,0,0.17483119859633686
5,64,0,0,0.34407579835407387
1,66,1,1,0.6807685497027381
5,67,0,0,0.12505664119509252
4,68,1,0,0.1143722788197328
3,69,0,0,0.13404733482010395
1,70,0,0,0.1458859089206766
2,72,0,0,0.488373100581519
4,73,0,0,0.13504842128054517
4,74,1,0,0.14944985100861602
2,76,0,0,0.12343916545582205
1,77,0,0,0.11307145188748097
2,78,1,1,0.6721853099215352
5,79,1,0,0.3875167762411909
2,80,0,0,0.14874297342232295
1,81,1,0,0.1140503011311276
4,83,0,1,0.5681754823982242
1,85,1,0,0.1786661784607884
2,86,0,0,0.30740055242427117
3,89,0,0,0.14961803583471717
2,90,0,0,0.1223245726634769
2,93,0,0,0.2057845435682213
4,94,0,0,0.04896726070756444
3,95,0,0,0.1288408569219695
4,96,0,0,0.2448771018257219
4,97,1,1,0.6308366568680562
2,98,1,1,0.5789290164961642
2,100,0,0,0.3208826495773309
2,101,0,0,0.12343916545582205
3,102,0,1,0.7873978296666176
3,103,0,0,0.1164874966248754
5,104,0,0,0.06766599261655792
2,107,1,0,0.12328759744054578
5,108,0,0,0.0966852216914233
1,109,1,1,0.5440989498813669
1,110,0,0,0.3788994661240822
5,111,0,0,0.49964329834440085
2,112,0,0,0.14711222731349896
4,113,0,0,0.4429607244483629
5,114,0,1,0.5210593275268698
4,116,0,0,0.06863719800346572
4,117,0,0,0.19665888423379047
4,118,0,1,0.7600359684034059
1,119,0,1,0.5001762724707667
1,120,0,0,0.2432656556531142
1,121,0,0,0.11307145188748097
1,122,0,0,0.18235185392398512
4,123,1,1,0.6870861721462358
2,124,0,0,0.49260929140739074
4,125,1,0,0.2489647187193804
3,127,1,0,0.14830000320255265
1,128,1,0,0.45722029966092276
3,129,0,0,0.09165062427413584
2,130,0,0,0.14313744853063096
2,131,0,0,0.15473789768318552
4,132,0,0,0.36105300952803054
5,133,1,1,0.6657519854810658
5,134,0,0,0.17088912831865502
1,135,0,0,0.25156332636272255
2,136,1,1,0.833364757108674
1,139,0,1,0.5251699987479647
2,140,0,0,0.42209572004359497
5,141,1,0,0.4280826557696882
2,144,0,0,0.3308709509473646
5,145,0,0,0.3976768434601799
5,147,0,1,0.568893610520171
5,148,0,0,0.3560180345707475
5,149,0,0,0.14238592158944127
5,150,0,0,0.14762599093309303
2,151,1,1,0.8806952838592458
1,152,0,0,0.0650880715922101
3,154,0,0,0.12795720806501332
3,155,0,0,0.36239800034177905
2,156,1,1,0.596914192471147
4,158,0,0,0.10092875132002499
1,159,0,0,0.014943746302706241
4,161,1,1,0.6497082904914557
