Indice_original,Particion,Clase_real
0,train,0
1,train,1
2,train,1
3,train,1
4,test,0
5,train,0
6,train,0
7,train,0
8,train,1
9,test,1
10,train,1
11,test,1
12,train,0
13,train,0
14,train,0
15,train,1
16,test,0
17,test,1
18,train,0
19,train,1
20,train,0
21,train,1
22,train,1
23,test,1
24,train,0
25,train,1
26,train,0
27,test,0
28,train,1
29,test,0
30,train,0
31,train,1
32,train,1
33,train,0
34,train,0
35,train,0
36,train,1
37,train,0
38,test,0
39,test,1
40,test,0
41,train,0
42,train,0
43,train,1
44,train,1
45,train,0
46,train,0
47,train,1
48,train,0
49,train,0
50,train,0
51,train,0
52,train,1
53,train,1
54,train,0
55,test,1
56,train,1
57,train,0
58,train,1
59,train,0
60,train,0
61,train,1
62,test,0
63,train,0
64,train,0
65,test,1
66,train,1
67,train,0
68,train,1
69,train,0
70,train,0
71,test,0
72,train,0
73,train,0
74,train,1
75,test,0
76,train,0
77,train,0
78,train,1
79,train,1
80,train,0
81,train,1
82,test,1
83,train,0
84,test,1
85,train,1
86,train,0
87,test,0
88,test,1
89,train,0
90,train,0
91,test,0
92,test,0
93,train,0
94,train,0
95,train,0
96,train,0
97,train,1
98,train,1
99,test,0
100,train,0
101,train,0
102,train,0
103,train,0
104,train,0
105,test,0
106,test,1
107,train,1
108,train,0
109,train,1
110,train,0
111,train,0
112,train,0
113,train,0
114,train,0
115,test,0
116,train,0
117,train,0
118,train,0
119,train,0
120,train,0
121,train,0
122,train,0
123,train,1
124,train,0
125,train,1
126,test,0
127,train,1
128,train,1
129,train,0
130,train,0
131,train,0
132,train,0
133,train,1
134,train,0
135,train,0
136,train,1
137,test,0
138,test,0
139,train,0
140,train,0
141,train,1
142,test,1
143,test,0
144,train,0
145,train,0
146,test,1
147,train,0
148,train,0
149,train,0
150,train,0
151,train,1
152,train,0
153,test,0
154,train,0
155,train,0
156,train,1
157,test,0
158,train,0
159,train,0
160,test,0
161,train,1
162,test,0
163,train,0
164,train,0
165,test,1
166,train,1
167,train,0
168,train,0
169,train,0
170,train,0
171,train,0
172,train,1
173,train,0
174,train,0
175,train,0
176,train,0
177,train,0
178,train,0
179,train,0
180,test,0
181,train,0
182,train,0
183,train,1
184,train,1
185,train,0
186,test,1
187,train,1
188,train,0
189,train,0
190,train,1
191,train,0
192,train,1
193,train,1
194,train,1
195,train,1
196,test,0
197,train,0
198,test,1
199,test,0
200,train,0
201,train,0
202,train,0
203,train,0
204,train,1
205,train,0
206,train,0
207,train,1
208,train,1
209,train,1
210,train,0
211,test,1
212,train,0
213,train,0
214,train,0
215,train,1
216,test,1
217,train,0
218,train,1
219,train,0
220,train,1
221,train,0
222,train,0
223,train,0
224,train,1
225,train,0
226,train,1
227,train,0
228,train,0
229,train,0
230,train,1
231,train,0
232,train,0
233,train,1
234,train,0
235,train,0
236,train,0
237,train,1
238,train,0
239,test,0
240,train,0
241,test,1
242,train,0
243,train,0
244,test,0
245,test,0
246,train,0
247,train,1
248,train,1
249,train,0
250,train,0
251,train,0
252,test,0
253,train,0
254,train,0
255,train,1
256,train,1
257,train,1
258,train,1
259,train,1
260,train,0
261,train,1
262,train,0
263,train,0
264,train,0
265,train,0
266,train,0
267,train,1
268,train,1
269,train,1
270,train,0
271,test,1
272,train,1
273,train,0
274,train,1
275,test,1
276,train,0
277,train,0
278,train,0
279,test,1
280,train,0
281,train,0
282,train,0
283,train,1
284,train,0
285,train,0
286,train,1
287,train,0
288,train,1
289,train,1
290,train,1
291,train,1
292,train,0
293,test,0
294,train,0
295,test,0
296,test,0
297,test,0
298,train,1
299,train,1
300,test,1
301,train,1
302,train,0
303,train,1
304,train,0
305,train,1
306,train,1
307,train,1
308,train,0
309,train,1
310,train,1
311,train,1
312,train,0
313,train,0
314,train,0
315,train,1
316,train,1
317,train,0
318,train,1
319,train,1
320,train,0
321,train,0
322,test,1
323,train,1
324,test,0
325,train,1
326,train,0
327,train,1
328,train,1
329,train,1
330,train,1
331,train,0
332,train,0
333,test,0
334,train,1
335,train,0
336,test,0
337,train,1
338,train,1
339,train,0
340,train,1
341,test,1
342,train,0
343,train,0
344,train,0
345,train,1
346,train,1
347,train,1
348,train,1
349,test,0
350,train,0
351,test,0
352,train,0
353,test,0
354,test,0
355,train,0
356,train,1
357,train,0
358,train,1
359,train,1
360,train,0
361,train,0
362,train,0
363,train,0
364,train,0
365,train,0
366,test,1
367,train,1
368,train,1
369,test,1
370,train,1
371,train,0
372,train,0
373,train,0
374,train,0
375,test,1
376,train,1
377,train,0
378,train,0
379,train,0
380,train,1
381,train,1
382,train,0
383,train,1
384,train,0
385,train,0
386,test,0
387,test,1
388,train,0
389,test,1
390,train,1
391,train,1
392,train,0
393,train,1
394,train,1
395,train,0
396,train,0
397,test,0
398,train,0
399,train,1
400,train,1
401,test,0
402,train,0
403,train,0
404,train,0
405,train,0
406,train,0
407,train,1
408,train,0
409,train,0
410,test,0
411,test,0
412,train,1
413,train,0
414,train,1
415,train,0
416,train,1
417,test,1
418,train,0
419,train,0
420,train,0
421,train,0
422,test,0
423,train,0
424,train,0
425,train,0
426,train,1
427,test,1
428,test,0
429,train,1
430,train,1
431,test,1
432,train,1
433,test,0
434,train,0
435,test,1
436,train,0
437,train,1
438,train,0
439,train,0
440,train,1
441,test,0
442,test,0
443,train,1
444,test,1
445,train,1
446,train,1
447,test,1
448,train,1
449,train,1
450,train,0
451,train,0
452,test,0
453,train,1
454,train,0
455,test,1
456,train,0
457,train,1
458,test,1
459,test,0
460,train,1
461,train,0
462,train,0
463,test,0
464,train,0
465,train,0
466,train,0
467,train,0
468,train,0
469,train,1
470,train,0
471,train,0
472,test,1
473,test,1
474,train,0
475,train,0
476,train,0
477,train,0
478,train,0
479,train,1
480,train,0
481,train,0
482,train,0
483,train,1
484,test,1
485,test,0
486,train,1
487,train,0
488,train,0
489,test,1
490,train,0
491,train,0
492,test,0
493,train,0
494,train,0
495,test,0
496,train,1
497,train,0
498,train,0
499,train,0
500,train,0
501,test,0
502,test,0
503,train,0
504,test,1
505,train,0
506,train,1
507,train,1
508,train,0
509,train,1
510,train,1
511,test,0
512,train,1
513,train,1
514,train,0
515,test,0
516,train,1
517,train,0
518,train,1
519,train,0
520,train,1
521,train,0
522,train,0
523,train,1
524,train,0
525,train,0
526,train,1
527,train,0
528,train,0
529,train,0
530,test,1
531,train,0
532,test,0
533,train,1
534,train,0
535,train,1
536,test,0
537,train,1
538,train,0
539,train,1
540,train,1
541,test,0
542,train,0
543,train,1
544,train,0
545,train,0
546,train,1
547,train,1
548,train,0
549,test,1
550,train,1
551,train,0
552,train,0
553,test,1
554,train,1
555,test,0
556,train,1
557,train,0
558,train,1
559,test,1
560,test,0
561,train,0
562,train,0
563,train,0
564,test,0
565,test,0
566,test,0
567,train,0
568,train,0
569,train,1
570,test,1
571,test,1
572,train,1
573,train,1
574,train,0
575,train,0
576,test,1
577,train,1
578,test,0
579,train,1
580,test,1
581,train,1
582,train,0
583,train,0
584,train,0
585,train,1
586,train,0
587,test,1
588,train,0
589,train,0
590,train,0
591,train,1
592,train,0
593,test,0
594,train,0
595,train,0
596,test,1
597,train,0
598,train,0
599,train,1
600,train,1
601,train,0
602,train,0
603,test,0
604,train,1
605,train,0
606,train,0
607,test,1
608,train,1
609,train,1
610,train,0
611,train,0
612,train,1
613,train,0
614,test,0
615,train,1
616,train,0
617,train,0
618,train,1
619,train,0
620,train,0
621,train,1
622,train,1
623,train,0
624,train,0
625,test,0
626,train,0
627,train,1
628,train,0
629,train,0
630,train,1
631,train,0
632,train,1
633,train,0
634,test,0
635,train,1
636,train,0
637,test,0
638,train,0
639,test,0
640,train,0
641,train,1
642,train,0
643,train,1
644,test,1
645,train,1
646,train,0
647,train,1
648,train,0
649,train,1
650,train,0
651,train,1
652,train,0
653,train,1
654,train,0
655,train,0
656,train,0
657,train,0
658,train,0
659,test,0
660,train,1
661,train,0
662,train,0
663,train,0
664,train,1
665,train,0
666,train,0
667,train,0
668,train,0
669,train,1
670,train,1
671,test,0
672,train,0
673,train,1
674,train,0
675,train,0
676,test,0
677,train,1
678,train,0
679,test,1
680,train,0
681,train,1
682,train,0
683,train,0
684,train,0
685,test,0
686,train,0
687,train,0
688,train,0
689,train,1
690,test,1
691,train,1
692,train,1
693,train,0
694,train,0
695,train,0
696,train,0
697,train,1
698,test,0
699,train,0
700,train,1
701,test,1
702,train,0
703,test,0
704,train,0
705,train,0
706,train,1
707,train,1
708,train,1
709,train,1
710,train,1
711,train,0
712,test,1
713,train,0
714,test,0
715,train,0
716,train,1
717,train,1
718,train,0
719,train,0
720,train,1
721,train,0
722,train,0
723,train,0
724,train,1
725,train,0
726,test,1
727,train,1
728,test,0
729,train,0
730,test,1
731,test,0
732,train,0
733,train,0
734,train,0
735,train,0
736,train,0
737,train,1
738,train,0
739,train,0
740,train,1
741,train,0
742,train,1
743,test,0
744,train,1
745,test,0
746,train,0
747,train,1
748,train,0
749,test,0
750,train,1
751,train,1
752,test,0
753,train,0
754,train,1
755,train,1
756,test,0
757,train,0
758,test,0
759,test,1
760,train,0
761,train,0
762,train,1
763,train,1
764,test,0
765,train,1
766,train,0
767,train,0
768,train,0
769,train,0
770,train,0
771,train,0
772,train,0
773,test,0
774,train,1
775,test,0
776,test,0
777,train,1
778,train,0
779,train,1
780,train,1
781,train,1
782,train,0
783,train,0
784,train,0
785,train,0
786,train,1
787,train,0
788,train,1
789,train,0
790,test,0
791,train,0
792,train,0
793,train,0
794,train,0
795,train,0
796,train,1
797,train,1
798,train,0
799,test,0
800,train,0
801,train,1
802,test,1
803,train,1
804,test,1
805,train,0
806,train,0
807,train,0
808,train,0
809,train,1
810,test,0
811,train,0
812,train,0
813,train,0
814,test,0
815,train,0
816,train,0
817,test,0
818,train,0
819,train,0
820,train,1
821,train,1
822,train,0
823,test,1
824,test,0
825,train,0
826,test,0
827,train,1
828,train,1
829,train,1
830,train,1
831,train,1
832,train,0
833,train,0
834,train,0
835,train,1
836,train,0
837,train,0
838,train,1
839,train,1
840,train,0
841,test,0
842,train,1
843,train,0
844,train,0
845,train,0
846,train,0
847,train,0
848,train,0
849,train,1
850,train,0
851,train,0
852,train,0
853,test,1
854,train,0
855,train,1
856,train,1
857,train,1
858,train,1
859,train,0
860,test,0
861,train,0
862,train,1
863,train,0
864,test,0
865,train,1
866,train,1
867,train,0
868,test,0
869,test,1
870,train,0
871,train,1
