Metrica,Promedio,Desv_estandar_poblacional,Desv_estandar_muestral,Minimo,Maximo,Rango
Accuracy,0.825844577957254,0.012062186881994546,0.013485934912723018,0.8098591549295775,0.8450704225352113,0.035211267605633756
Precision,0.8346889498488783,0.037326416450000954,0.04173220226933425,0.7735849056603774,0.8837209302325582,0.11013602457218075
Recall,0.684983164983165,0.05506614343513511,0.061565819989857946,0.6111111111111112,0.7592592592592593,0.14814814814814814
F1_score,0.7499880399041645,0.025876712235023865,0.02893104379585694,0.7096774193548387,0.7755102040816326,0.06583278472679388
Balanced_accuracy,0.7992444560548009,0.01806286682435232,0.02019489904388877,0.7714646464646464,0.8167189132706374,0.045254266805990984
Especificidad,0.9135057471264367,0.029151123664547248,0.03259194706721521,0.8636363636363636,0.9425287356321839,0.07889237199582022
FPR,0.08649425287356322,0.02915112366454727,0.032591947067215236,0.05747126436781609,0.13636363636363635,0.07889237199582026
FNR,0.31501683501683503,0.05506614343513512,0.06156581998985795,0.24074074074074073,0.3888888888888889,0.14814814814814817
ROC_AUC,0.8622692045850353,0.017722283002378058,0.0198141147549032,0.8338842975206612,0.886833855799373,0.05294955827871184
Average_precision,0.8393308019420193,0.02353352152698523,0.026311276942146813,0.7986105842033477,0.8697868566995479,0.07117627249620018
