Indice_original,Fold,y_real,y_pred,prob_clase_1
0,1,0,0,0.08606816579112646
1,4,1,1,0.9562115575966746
2,1,1,0,0.46667910628956544
3,4,1,1,0.970817141704193
5,5,0,0,0.18885104200058825
6,2,0,0,0.379653010535666
7,5,0,0,0.22106696766610004
8,3,1,0,0.4239660983119322
10,2,1,1,0.7812991893916812
12,5,0,0,0.15376041226196308
13,2,0,0,0.02724161600312911
14,2,0,1,0.7040327872076756
15,1,1,1,0.795626170939711
18,4,0,0,0.4117545198055361
19,3,1,0,0.4355960301664735
20,4,0,0,0.1282577471747786
21,1,1,0,0.06719378462402283
22,1,1,1,0.8885676353280786
24,5,0,0,0.32702121507127047
25,1,1,0,0.17569200664304624
26,3,0,0,0.1450937360747776
28,3,1,1,0.576128618275559
30,4,0,0,0.38112882000045084
31,1,1,1,0.9703446374075672
32,5,1,1,0.5026711361670181
33,2,0,0,0.08500023274875615
34,4,0,1,0.5425235887464834
35,4,0,1,0.5791299479276378
36,5,1,0,0.14471259517434135
37,1,0,0,0.10675078382392304
41,5,0,1,0.6137927769675205
42,4,0,0,0.1384120863444681
43,2,1,1,0.9300739877173981
44,4,1,1,0.8195187770261307
45,3,0,0,0.10699288551457195
46,2,0,0,0.17513449819099913
47,5,1,1,0.5026711361670181
48,2,0,0,0.11709836371283014
49,4,0,0,0.42360860504458264
50,3,0,0,0.13301831468703776
51,4,0,0,0.10578662478398865
52,1,1,1,0.9816177463212041
53,5,1,1,0.6146128704409212
54,1,0,0,0.07793509828571485
56,3,1,1,0.6813916146057217
57,4,0,0,0.1358600829373118
58,2,1,1,0.9428674049424547
59,1,0,0,0.05251516507464402
60,1,0,0,0.24123817432116287
61,3,1,1,0.9176962689569994
63,2,0,0,0.10036588393016554
64,5,0,0,0.3295969645360364
66,1,1,1,0.8535210645530275
67,5,0,0,0.1607610211598504
68,4,1,0,0.1397834584973267
69,3,0,0,0.09549213719819485
70,1,0,0,0.06774939146165809
72,2,0,0,0.2542905319124824
73,4,0,0,0.1589993005605889
74,4,1,0,0.1170319356764437
76,2,0,0,0.07660095941437277
77,1,0,0,0.08505595781882018
78,2,1,1,0.8635242065478098
79,5,1,0,0.33766465659560874
80,2,0,0,0.0989275038258258
81,1,1,0,0.08619002913329678
83,4,0,0,0.4558693447132412
85,1,1,0,0.1362696305239012
86,2,0,0,0.1945250429207594
89,3,0,0,0.12393565720776235
90,2,0,0,0.07667326448400502
93,2,0,0,0.07462767371544009
94,4,0,0,0.044087929044839776
95,3,0,0,0.10699288551457195
96,4,0,0,0.29880792685788865
97,4,1,1,0.6172435952842152
98,2,1,1,0.7626770721893924
100,2,0,0,0.48325387669888403
101,2,0,0,0.07660095941437277
102,3,0,1,0.7467439359025718
103,3,0,0,0.09808142113378823
104,5,0,0,0.08939772556531336
107,2,1,0,0.07646894409102171
108,5,0,0,0.09989988597138201
109,1,1,1,0.663026724632608
110,1,0,0,0.2867385581918634
111,5,0,0,0.4972798737928922
112,2,0,0,0.09729501668304497
113,4,0,0,0.4147783269881987
114,5,0,1,0.543541452539046
116,4,0,0,0.05819217396403929
117,4,0,0,0.18327348295910484
118,4,0,1,0.6734045223719226
119,1,0,1,0.5964787569252872
120,1,0,0,0.10163230263995247
121,1,0,0,0.08505595781882018
122,1,0,0,0.13927290267099984
123,4,1,1,0.7782095721157932
124,2,0,0,0.31336025385058164
125,4,1,0,0.294512610229727
127,3,1,0,0.12309449557796069
128,1,1,0,0.4237796487485883
129,3,0,0,0.06576682611763525
130,2,0,0,0.11692153338935368
131,2,0,0,0.11041001611167371
132,4,0,0,0.39207422286837035
133,5,1,1,0.6146128704409212
134,5,0,0,0.1694962001291576
135,1,0,0,0.26858760146324595
